base_requirement_id,state_code,state_name,board_type,provider_type,substantial_cme_required,cme_equivalent_accepted,total_hours_required,renewal_period_months,hours_per_year_equivalent,min_category1_hours,category1_percentage,max_category2_hours,rollover_allowed,max_rollover_hours,accreditation_required,base_effective_date,base_last_updated,base_statute_citation,board_guidance_url,base_notes,board_name,board_abbreviation,board_website_url,board_cme_guidance_url,board_contact_email,board_phone,board_last_verified,content_specific_count,content_topics,content_requirements_summary,exemptions_count,exemption_types,exemptions_summary,special_population_count,special_population_topics,special_population_summary,base_created_at,base_updated_at
8bf24a91-04df-4f5b-b74f-d776df2a0a49,AL,Alabama,MEDICAL,BOTH,True,True,25,12,25.0,25,100.0,,False,,AMA PRA Category 1,2018-01-01,2025-10-01,Ala. Admin. Code r. 540-x-14.02,,"All hours must be AMA PRA Category 1. No rollover of credits allowed. Professional boundaries course required for new licensees (1 hour within 12 months) and one-time requirement for existing licensees by December 31, 2025.",,,,,,,,2,OPIOID_PRESCRIBING; PROFESSIONAL_BOUNDARIES,OPIOID_PRESCRIBING (Controlled substance prescribing practices): 2.00 hrs - PER_YEAR - CONDITIONAL: Applies to all Alabama Controlled Substance Certificate holders | PROFESSIONAL_BOUNDARIES (Board-designated professional boundaries): 1.00 hrs - ONE_TIME,1,BOARD_CERTIFICATION,BOARD_CERTIFICATION - FULL EXEMPTION (ABMS),0,,,2025-11-19T01:49:35.355920,2025-11-19T01:49:35.355922
0ac7f492-35e6-4cb2-96b5-0fd40d9df140,AK,Alaska,COMBINED,BOTH,True,True,50,24,25.0,50,100.0,,True,25,"AMA Category 1, AOA Category 1 or 2",,2025-10-01,"Alaska Admin. Code tit. 12, § 40.200",,May not be exempted from more than 15 hours in 5-year period. Up to 25 hours may be carried forward to next licensing period.,,,,,,,,1,PAIN_MANAGEMENT,PAIN_MANAGEMENT (Pain management and opioid use and addiction): 2.00 hrs - PER_RENEWAL - CONDITIONAL: For each licensee who holds a DEA number,1,BOARD_CERTIFICATION,BOARD_CERTIFICATION - FULL EXEMPTION (AMA or AOA recognized boards),0,,,2025-11-19T01:49:35.355925,2025-11-19T01:49:35.355925
f07ab946-fd0c-42da-b5ec-6ab3522edf23,AZ-O,Arizona,OSTEOPATHIC,DO,True,False,40,24,20.0,24,60.0,16,False,,AOA Category 1-A minimum 24 hrs; AMA Category 1 max 16 hrs,2018-04-01,2025-10-01,Ariz. Admin. Code R4-22-207,,24 hours must be AOA Category 1-A; no more than 16 hours AMA Category 1. No rollover.,,,,,,,,1,OPIOID_PRESCRIBING,OPIOID_PRESCRIBING (Opioid prescribing OR pain management/addiction): 3.00 hrs - PER_RENEWAL,0,,,0,,,2025-11-19T01:49:35.355935,2025-11-19T01:49:35.355936
f8f71e47-136d-4dde-a4bf-099ed4f8e4fc,AZ-M,Arizona,MEDICAL,MD,True,False,40,24,20.0,40,100.0,,False,,Board approved,2018-04-01,2025-10-01,Ariz. Admin. Code R4-16-102,,Board does not allow rollover credits. All 40 hours must be board-approved CME.,,,,,,,,1,OPIOID_PRESCRIBING,OPIOID_PRESCRIBING (Opioid prescribing OR pain management/addiction): 3.00 hrs - PER_RENEWAL,0,,,0,,,2025-11-19T01:49:35.355929,2025-11-19T01:49:35.355930
57aac967-eec0-4916-83d3-23402542c659,AR,Arkansas,MEDICAL,BOTH,True,False,20,12,20.0,10,50.0,,False,,Category 1 for 50% of hours,,2025-10-01,AR Admin Rules 060.00.18-001,,50 percent must be in subjects pertaining to physician's primary area of practice and designated as Category 1. One-time requirement of 3 hours in prescribing education within first 2 years of licensure.,,,,,,,,1,OPIOID_PRESCRIBING,OPIOID_PRESCRIBING (Prescribing opioids and/or benzodiazepines): 1.00 hrs - PER_YEAR,0,,,0,,,2025-11-19T01:49:35.355938,2025-11-19T01:49:35.355938
6c5a85a9-0d33-4dd3-9827-0c09b171f165,CA-O,California,OSTEOPATHIC,DO,True,False,50,24,25.0,20,40.0,,False,,AOA Category 1A or 1B: 20 hours minimum,2024-01-01,2025-10-01,Cal. Bus. & Prof. Code § 2111,,At least 20 hours must be AOA Category 1A or 1B. Does not accept CME equivalents.,,,,,,,,1,PAIN_MANAGEMENT,PAIN_MANAGEMENT (Pain management and treatment of terminally ill patients): 12.00 hrs - ONE_TIME - CONDITIONAL: Does not apply to pathologists and radiologists,0,,,1,Geriatric medicine,Geriatric medicine - Over 25 percent of patient population at least 65 years of age: 20.00% of total,2025-11-19T01:49:35.355942,2025-11-19T01:49:35.355942
7285aae8-1c4b-4036-bae2-8def51b93159,CA-M,California,MEDICAL,MD,True,True,50,24,25.0,50,100.0,,False,,Category 1 approved,,2025-10-01,"Cal. Code Reg. tit. 16, § 1336",,If initial license <13 months only 25 hours required. Pain management requirement is one-time only. Board certification = 100 hours credit for 4 consecutive years.,,,,,,,,1,PAIN_MANAGEMENT,PAIN_MANAGEMENT (Pain management and treatment of terminally ill patients): 12.00 hrs - ONE_TIME - CONDITIONAL: Does not apply to pathologists and radiologists,1,BOARD_CERTIFICATION,BOARD_CERTIFICATION - 100 hrs credit (ABMS recognized specialty boards),1,Geriatric medicine,Geriatric medicine - Over 25 percent of patient population at least 65 years of age: 20.00% of total,2025-11-19T01:49:35.355940,2025-11-19T01:49:35.355941
375bb70f-e93d-40be-8bc0-16711bb2b9dd,CO,Colorado,COMBINED,BOTH,True,False,30,24,15.0,30,100.0,,False,,"AMA Category 1, AAFP prescribed credit, ACOG, or national board certification programs",2026-01-01,2025-10-01,HB 1153 (2024),,"Effective January 1, 2026. Board authorized to audit up to 5% of physician renewals annually.",,,,,,,,1,OPIOID_PRESCRIBING,"OPIOID_PRESCRIBING (Best practices, substance use disorders, treatment referral, PDMP): 2.00 hrs - PER_RENEWAL - CONDITIONAL: Exempted if maintain national board cert requiring equivalent training or attest no opioid prescribing",0,,,0,,,2025-11-19T01:49:35.355945,2025-11-19T01:49:35.355945
5764e94d-f718-4681-8339-f7e54aaf8f3d,CT,Connecticut,COMBINED,BOTH,True,False,50,24,25.0,,,,False,,"ACCME, AOA, AAFP or state medical society recognized by ACCME",,2025-10-01,Conn. Gen. Stat. § 20-10(b),,"In first renewal period and once every 6 years: 1 hour each in infectious diseases, cultural competency, risk management, sexual assault/domestic violence, cognitive issues, and behavioral health. Commissioner may grant waiver for up to 10 hours for board service.",,,,,,,,0,,,0,,,0,,,2025-11-19T01:49:35.355950,2025-11-19T01:49:35.355950
9064d3c4-e0da-4e9f-878d-03c05e5885a5,DE,Delaware,COMBINED,BOTH,True,False,40,24,20.0,40,100.0,,False,,AMA or AOA Category 1,,2025-10-01,24 Del. Admin. Code 1700-12.0,,All 40 hours must be AMA or AOA Category 1. Starting 2017 renewals: 2 hours biennially in controlled substance prescribing.,,,,,,,,0,,,0,,,0,,,2025-11-19T01:49:35.355954,2025-11-19T01:49:35.355955
