Issue ID,Type,Severity,Status,Title,Component,Pattern ID,Created At,Updated At,Detected By,Tags
AUTO-2501,CRITICAL,CRITICAL,NEW,JWT Token Expiry Validation Missing in API Gateway,api_gateway,AUTH_VALIDATION_001,2025-11-16T20:15:00Z,2025-11-16T20:15:00Z,security_scanner,"auth, security, critical"
AUTO-2502,CRITICAL,CRITICAL,NEW,SQL Injection Vulnerability in Provider Filter,backend/services/provider,SQL_INJECTION_002,2025-11-16T20:45:00Z,2025-11-16T20:45:00Z,static_analyzer,"security, backend, critical"
AUTO-2503,HIGH,HIGH,NEW,Memory Leak in Document Parser,backend/services/parser,MEMORY_LEAK_003,2025-11-16T21:30:00Z,2025-11-16T21:30:00Z,memory_profiler,"performance, backend, leak"
AUTO-2504,HIGH,HIGH,NEW,Rate Limiting Not Applied to File Upload Endpoint,api_gateway/routes,RATE_LIMIT_004,2025-11-16T22:00:00Z,2025-11-16T22:00:00Z,security_scanner,"security, infrastructure, high"
AUTO-2505,CRITICAL,CRITICAL,NEW,XSS Vulnerability in Admin Dashboard Search,frontend/components/admin,XSS_VULNERABILITY_005,2025-11-16T22:15:00Z,2025-11-16T22:15:00Z,static_analyzer,"security, frontend, critical"
AUTO-2501,CRITICAL,CRITICAL,TRIAGED,JWT Token Expiry Validation Missing in API Gateway,api_gateway,AUTH_VALIDATION_001,2025-11-16T20:15:00Z,2025-11-16T23:00:00Z,security_scanner,"auth, security, critical"
AUTO-2502,CRITICAL,CRITICAL,IN_PROGRESS,SQL Injection Vulnerability in Provider Filter,backend/services/provider,SQL_INJECTION_002,2025-11-16T20:45:00Z,2025-11-16T23:15:00Z,static_analyzer,"security, backend, critical"
AUTO-2506,HIGH,HIGH,FIXED,Unvalidated Redirect in OAuth Callback,backend/auth,UNVALIDATED_REDIRECT_006,2025-11-16T19:30:00Z,2025-11-16T23:30:00Z,static_analyzer,"security, auth, fixed"
AUTO-2503,HIGH,HIGH,FIXED,Memory Leak in Document Parser,backend/services/parser,MEMORY_LEAK_003,2025-11-16T21:30:00Z,2025-11-16T23:45:00Z,memory_profiler,"performance, backend, leak"
AUTO-2507,CRITICAL,CRITICAL,REGRESSION,Previously Fixed: JWT Token Expiry (Regression),api_gateway,AUTH_VALIDATION_001_REGRESSION,2025-11-16T22:30:00Z,2025-11-16T23:50:00Z,regression_detector,"regression, security, critical"
AUTO-2504,HIGH,HIGH,IN_PROGRESS,Rate Limiting Not Applied to File Upload Endpoint,api_gateway/routes,RATE_LIMIT_004,2025-11-16T22:00:00Z,2025-11-16T23:55:00Z,security_scanner,"security, infrastructure, high"
AUTO-2508,HIGH,HIGH,NEW,Sensitive Data Logged in Application Logs,backend/logging,SENSITIVE_DATA_LOG_008,2025-11-16T23:20:00Z,2025-11-16T23:20:00Z,compliance_scanner,"security, compliance, hipaa, soc2, high"
AUTO-2505,CRITICAL,CRITICAL,FIXED,XSS Vulnerability in Admin Dashboard Search,frontend/components/admin,XSS_VULNERABILITY_005,2025-11-16T22:15:00Z,2025-11-16T23:25:00Z,static_analyzer,"security, frontend, critical"
