"file_moved","original_repo","original_path","destination_path","timestamp_utc","bucket"
"auto_issues_export.csv","credentialmate-docs","issues\auto_issues_export.csv","deletion\credentialmate-docs\issues\auto_issues_export.csv","2025-11-20T19:26:06Z","deletion"
"auto_issues_new.csv","credentialmate-docs","issues\auto_issues_new.csv","deletion\credentialmate-docs\issues\auto_issues_new.csv","2025-11-20T19:26:06Z","deletion"
"auto_issues_fixed.csv","credentialmate-docs","issues\auto_issues_fixed.csv","deletion\credentialmate-docs\issues\auto_issues_fixed.csv","2025-11-20T19:26:06Z","deletion"
"auto_issues_regressions.csv","credentialmate-docs","issues\auto_issues_regressions.csv","deletion\credentialmate-docs\issues\auto_issues_regressions.csv","2025-11-20T19:26:06Z","deletion"
"auto_issues_log.jsonl","credentialmate-docs","issues\auto_issues_log.jsonl","deletion\credentialmate-docs\issues\auto_issues_log.jsonl","2025-11-20T19:26:06Z","deletion"
"agent_issue_wrapper.py","credentialmate-docs","issues\agent_issue_wrapper.py","deletion\credentialmate-docs\issues\agent_issue_wrapper.py","2025-11-20T19:26:06Z","deletion"
"log_login_bug_fix.py","credentialmate-docs","issues\log_login_bug_fix.py","deletion\credentialmate-docs\issues\log_login_bug_fix.py","2025-11-20T19:26:06Z","deletion"
"append_fix_status.py","credentialmate-docs","issues\append_fix_status.py","deletion\credentialmate-docs\issues\append_fix_status.py","2025-11-20T19:26:06Z","deletion"
"run_automated_qa_suite.py","credentialmate-docs","qa\auto\run_automated_qa_suite.py","deletion\credentialmate-docs\qa\auto\run_automated_qa_suite.py","2025-11-20T19:26:06Z","deletion"
"retrofit_script.py","credentialmate-docs","retrofit_script.py","deletion\credentialmate-docs\retrofit_script.py","2025-11-20T19:26:06Z","deletion"
"REPORT_MANIFEST.txt","credentialmate-docs","issues\REPORT_MANIFEST.txt","deletion\credentialmate-docs\issues\REPORT_MANIFEST.txt","2025-11-20T19:26:06Z","deletion"
"ISSUES_LOG.csv","credentialmate-docs","qa\uat\ISSUES_LOG.csv","deletion\credentialmate-docs\qa\uat\ISSUES_LOG.csv","2025-11-20T19:26:06Z","deletion"
