Report_ID,Category,Assessment_Area,Requirement_ID,Compliance_Standard,Requirement_Description,Implementation_Status,Schema_Ready,Application_Integrated,Real_Data_Logging,Weekly_Status,Severity,Risk_Level,Evidence,Gap_Description,Remediation_Required,Estimated_Effort_Hours,Owner,Last_Assessment_Date,Next_Review_Date,Notes
RPT-2025W47-001,Executive Summary,Overall Compliance Score,N/A,HIPAA/SOC2,Weekly RIS Compliance Assessment - Logging Real Data,PARTIAL,Yes,No,No,CRITICAL GAP,Critical,High,AUDIT_TRAIL_IMPLEMENTATION_PLAN.md,"Audit logging schema exists but application-level integration is NOT implemented. 17 mutation endpoints across 7 routers have no audit trail logging.",Yes,28-44,Claude Code,2025-11-20,2025-11-27,Week 47 2025 assessment - System at 40% compliance for real data logging
RPT-2025W47-002,Audit Controls,PHI Access Logging,CMP-007,HIPAA 164.312(b),Record and examine activity in systems containing PHI,NOT IMPLEMENTED,Yes,No,No,NOT LOGGING,Critical,High,"audit_logs table schema exists; AuditService.py exists but not integrated",Application does not log PHI access to audit_logs table. All READ operations on credentials and licenses are untracked.,Yes,8-12,Claude Code,2025-11-20,2025-11-27,HIPAA critical requirement - must implement audit middleware
RPT-2025W47-003,Audit Controls,Mutation Logging,CMP-007,HIPAA 164.312(b),Log all CREATE/UPDATE/DELETE operations on PHI,NOT IMPLEMENTED,Yes,No,No,NOT LOGGING,Critical,High,AUDIT_TRAIL_IMPLEMENTATION_PLAN.md Phase 1,17 mutation endpoints (POST/PUT/DELETE/PATCH) across 7 routers have no audit logging integration,Yes,8-12,Claude Code,2025-11-20,2025-11-27,Must add AuditService calls to all mutation endpoints
RPT-2025W47-004,Audit Controls,Change Event Tracking,N/A,HIPAA 164.312(b),Capture before/after state for all data changes,NOT IMPLEMENTED,Yes,No,No,NOT TRACKING,High,Medium,"change_events table schema exists; ChangeEventService planned",Cannot reconstruct entity state at specific timestamps. No time-travel queries possible.,Yes,6-8,Claude Code,2025-11-20,2025-11-27,Phase 2 implementation - enables compliance audits
RPT-2025W47-005,Audit Controls,Immutability Enforcement,N/A,HIPAA 164.312(b),Prevent modification of audit logs,NOT IMPLEMENTED,Yes,No,No,VULNERABLE,Critical,High,AUDIT_TRAIL_IMPLEMENTATION_PLAN.md Phase 3,"No database triggers to prevent UPDATE/DELETE on audit_logs, change_events, keystroke_logs tables",Yes,2-4,Claude Code,2025-11-20,2025-11-27,Critical HIPAA gap - audit logs can be tampered with
RPT-2025W47-006,Access Control,User Authentication Logging,CMP-009,HIPAA 164.312(d),Log all authentication attempts,PARTIAL,Yes,Partial,No,PARTIAL,High,Medium,AUTH-001,Session tokens issued but authentication events not logged to audit_logs table,Yes,4,Claude Code,2025-11-20,2025-11-27,Need to integrate auth events with AuditService
RPT-2025W47-007,Access Control,Row-Level Security,CMP-006,HIPAA 164.312(a)(1),Enforce data access based on user role,SCHEMA READY,Yes,Partial,N/A,IMPLEMENTED,Medium,Low,credentialmate_data_bible.md Section 6,RLS policies defined but enforcement depends on proper session variable setting,Verify,2,Claude Code,2025-11-20,2025-11-27,Test RLS enforcement with all user roles
RPT-2025W47-008,Data Integrity,Version Control,CMP-008,HIPAA 164.312(c)(1),Maintain version history of all credential changes,SCHEMA READY,Yes,No,No,NOT TRACKING,High,Medium,credential_versions table schema,credential_versions table exists but not populated by application,Yes,4,Claude Code,2025-11-20,2025-11-27,Need to version credentials on each update
RPT-2025W47-009,Data Integrity,Document Lineage,CMP-008,HIPAA 164.312(c)(1),Track source documents for all extracted data,SCHEMA READY,Yes,Partial,Partial,PARTIAL,Medium,Low,document_lineage table schema,Schema exists; partial integration in document parser,Yes,4,Claude Code,2025-11-20,2025-11-27,Complete lineage tracking for all parsed fields
RPT-2025W47-010,System Monitoring,CloudWatch Integration,CMP-012,SOC2 CC7.2,Collect and monitor system metrics,PLANNED,Yes,No,No,NOT DEPLOYED,High,High,credentialmate_infrastructure_deployment.md,CloudWatch log groups defined but not deployed. Application logs not being collected.,Yes,16,DevOps,2025-11-20,2025-11-27,Blocked on AWS production deployment
RPT-2025W47-011,System Monitoring,Error Rate Tracking,CMP-012,SOC2 CC7.2,Monitor and alert on application errors,NOT IMPLEMENTED,No,No,No,NOT MONITORING,Medium,Medium,TRK-13091329 P0-1 Tracker,"No CloudWatch alarms configured for CPU, memory, disk, RDS metrics",Yes,16,DevOps,2025-11-20,2025-11-27,Part of P0-1 monitoring deployment
RPT-2025W47-012,Notification Tracking,Email Delivery Logging,N/A,SOC2 A1,Log all notification attempts and outcomes,SCHEMA READY,Yes,Partial,No,NOT TRACKING,Medium,Low,"notifications_sent, email_events tables",Tables exist; SES integration planned but not logging real delivery events,Yes,8,Claude Code,2025-11-20,2025-11-27,NOTIF-001 Phase 3 implementation
RPT-2025W47-013,Security Scanning,Dependency Vulnerabilities,RISK-004,SOC2 CC6.1,Scan for vulnerable dependencies,MONITORING,Yes,Yes,N/A,ACTIVE,Medium,Medium,RISK_REGISTER.csv RISK-004,Dependabot configured but automated remediation not in place,Improve,4,DevOps,2025-11-20,2025-11-27,Add automated PR creation for security updates
